id,type
D00140,Mobile
D00141,Tablet
D00142,Tablet
D00143,Tablet
D00144,Mobile
D00145,Mobile
D00146,Mobile
D00147,Desktop
D00148,Tablet
D00149,Tablet
D00150,Desktop
D00151,Mobile
D00152,Tablet
D00153,Tablet
D00154,Desktop
D00155,Desktop
D00156,Tablet
D00157,Mobile
D00158,Tablet
D00159,Tablet
D00160,Desktop
D00161,Desktop
D00162,Tablet
D00163,Desktop
D00164,Mobile
D00165,Desktop
D00166,Mobile
D00167,Tablet
D00168,Desktop
D00169,Mobile
D00170,Tablet
D00171,Mobile
D00172,Tablet
D00173,Desktop
D00174,Desktop
D00175,Desktop
D00176,Desktop
D00177,Mobile
D00178,Mobile
D00179,Desktop
D00180,Desktop
D00181,Tablet
D00182,Desktop
D00183,Desktop
D00184,Desktop
D00185,Tablet
D00186,Mobile
D00187,Tablet
D00188,Desktop
D00189,Tablet
D00190,Desktop
D00191,Mobile
D00192,Desktop
D00193,Desktop
D00194,Mobile
D00195,Tablet
D00196,Mobile
D00197,Mobile
D00198,Tablet
D00199,Desktop
D00200,Tablet
D00201,Tablet
D00202,Mobile
D00203,Mobile
D00204,Desktop
D00205,Desktop
D00206,Tablet
D00207,Tablet
D00208,Mobile
D00209,Desktop
D00210,Desktop
D00211,Mobile
D00212,Desktop
D00213,Mobile
D00214,Desktop
D00215,Desktop
D00216,Desktop
D00217,Mobile
D00218,Desktop
D00219,Tablet
D00220,Tablet
D00221,Tablet
D00222,Desktop
D00223,Desktop
D00224,Tablet
D00225,Mobile
D00226,Desktop
D00227,Desktop
D00228,Tablet
D00229,Desktop
D00230,Desktop
D00231,Tablet
D00232,Tablet
D00233,Tablet
D00234,Mobile
D00235,Tablet
D00236,Mobile
D00237,Mobile
D00238,Desktop
D00239,Desktop
D00240,Mobile
D00241,Mobile
D00242,Mobile
D00243,Mobile
D00244,Desktop
D00245,Desktop
D00246,Desktop
D00247,Desktop
D00248,Mobile
D00249,Tablet
D00250,Mobile
D00251,Tablet
D00252,Tablet
D00253,Mobile
D00254,Mobile
D00255,Desktop
D00256,Tablet
D00257,Desktop
D00258,Tablet
D00259,Tablet
D00260,Mobile
D00261,Mobile
D00262,Desktop
D00263,Mobile
D00264,Tablet
D00265,Desktop
D00266,Mobile
D00267,Desktop
D00268,Mobile
D00269,Tablet
D00270,Tablet
D00271,Tablet
D00272,Desktop
D00273,Desktop
D00274,Desktop
D00275,Tablet
D00276,Desktop
D00277,Tablet
D00278,Desktop
D00279,Desktop
D00280,Mobile
D00281,Tablet
D00282,Desktop
D00283,Mobile
D00284,Tablet
D00285,Desktop
D00286,Tablet
D00287,Desktop
D00288,Desktop
D00289,Desktop
D00290,Mobile
D00291,Desktop
D00292,Tablet
D00293,Mobile
D00294,Desktop
D00295,Mobile
D00296,Mobile
D00297,Tablet
D00298,Mobile
D00299,Tablet
D00300,Mobile
D00301,Tablet
D00302,Mobile
D00303,Tablet
D00304,Mobile
D00305,Desktop
D00306,Tablet
D00307,Mobile
D00308,Tablet
D00309,Mobile
D00310,Mobile
D00311,Mobile
D00312,Tablet
D00313,Desktop
D00314,Mobile
D00315,Tablet
D00316,Mobile
D00317,Mobile
D00318,Mobile
D00319,Tablet
D00320,Tablet
D00321,Desktop
D00322,Mobile
D00323,Mobile
D00324,Tablet
D00325,Tablet
D00326,Desktop
D00327,Desktop
D00328,Mobile
D00329,Mobile
D00330,Mobile
D00331,Tablet
D00332,Mobile
D00333,Mobile
D00334,Desktop
D00335,Desktop
D00336,Desktop
D00337,Desktop
D00338,Mobile
D00339,Tablet
D00340,Desktop
D00341,Mobile
D00342,Desktop
D00343,Tablet
D00344,Desktop
D00345,Tablet
D00346,Desktop
D00347,Desktop
D00348,Mobile
D00349,Tablet
D00350,Tablet
D00351,Mobile
D00352,Tablet
D00353,Mobile
D00354,Tablet
D00355,Desktop
D00356,Mobile
D00357,Tablet
D00358,Desktop
D00359,Mobile
D00360,Tablet
D00361,Mobile
D00362,Mobile
D00363,Tablet
D00364,Tablet
D00365,Mobile
D00366,Mobile
D00367,Mobile
D00368,Tablet
D00369,Mobile
D00370,Tablet
D00371,Desktop
D00372,Mobile
D00373,Desktop
D00374,Desktop
D00375,Tablet
D00376,Desktop
D00377,Mobile
D00378,Mobile
D00379,Desktop
D00380,Mobile
D00381,Tablet
D00382,Tablet
D00383,Tablet
D00384,Tablet
D00385,Tablet
D00386,Tablet
D00387,Tablet
D00388,Mobile
D00389,Tablet
D00390,Mobile
D00391,Tablet
D00392,Tablet
D00393,Tablet
D00394,Tablet
D00395,Tablet
D00396,Desktop
D00397,Desktop
D00398,Desktop
D00399,Mobile
D00400,Tablet
D00401,Desktop
D00402,Tablet
D00403,Mobile
D00404,Tablet
D00405,Desktop
D00406,Tablet
D00407,Tablet
D00408,Desktop
D00409,Tablet
D00410,Mobile
D00411,Tablet
D00412,Desktop
D00413,Mobile
D00414,Tablet
D00415,Mobile
D00416,Desktop
D00417,Desktop
D00418,Desktop
D00419,Mobile
D00420,Desktop
D00421,Mobile
D00422,Tablet
D00423,Tablet
D00424,Desktop
D00425,Desktop
D00426,Mobile
D00427,Tablet
D00428,Tablet
D00429,Tablet
D00430,Desktop
D00431,Mobile
D00432,Desktop
D00433,Tablet
D00434,Desktop
D00435,Mobile
D00436,Mobile
D00437,Tablet
D00438,Desktop
D00439,Tablet
D00440,Tablet
D00441,Desktop
D00442,Mobile
D00443,Tablet
D00444,Tablet
D00445,Tablet
D00446,Mobile
D00447,Mobile
D00448,Tablet
D00449,Desktop
D00450,Mobile
D00451,Tablet
D00452,Mobile
D00453,Desktop
D00454,Desktop
D00455,Mobile
D00456,Tablet
D00457,Tablet
D00458,Mobile
D00459,Mobile
D00460,Mobile
D00461,Mobile
D00462,Desktop
D00463,Tablet
D00464,Desktop
D00465,Desktop
D00466,Desktop
D00467,Mobile
D00468,Tablet
D00469,Tablet
D00470,Desktop
D00471,Desktop
D00472,Desktop
D00473,Mobile
D00474,Tablet
D00475,Desktop
D00476,Tablet
D00477,Tablet
D00478,Mobile
D00479,Tablet
D00480,Mobile
D00481,Mobile
D00482,Desktop
D00483,Tablet
D00484,Desktop
D00485,Tablet
D00486,Desktop
D00487,Desktop
D00488,Tablet
D00489,Desktop
D00490,Tablet
D00491,Mobile
D00492,Desktop
D00493,Tablet
D00494,Desktop
D00495,Desktop
D00496,Tablet
D00497,Mobile
D00498,Mobile
D00499,Mobile
