id,name,risk_score
U00317,User317,75.86
U00318,User318,42.29
U00319,User319,65.71
U00320,User320,43.73
U00321,User321,58.64
U00322,User322,42.53
U00323,User323,31.11
U00324,User324,99.94
U00325,User325,22.53
U00326,User326,86.79
U00327,User327,24.43
U00328,User328,62.13
U00329,User329,57.69
U00330,User330,35.24
U00331,User331,49.26
U00332,User332,15.96
U00333,User333,1.2
U00334,User334,11.83
U00335,User335,46.84
U00336,User336,65.03
U00337,User337,13.45
U00338,User338,18.56
U00339,User339,57.93
U00340,User340,55.24
U00341,User341,36.07
U00342,User342,95.74
U00343,User343,89.11
U00344,User344,10.53
U00345,User345,68.54
U00346,User346,96.64
U00347,User347,73.92
U00348,User348,61.28
U00349,User349,27.47
U00350,User350,19.22
U00351,User351,93.21
U00352,User352,87.06
U00353,User353,33.05
U00354,User354,32.98
U00355,User355,74.63
U00356,User356,15.89
U00357,User357,93.33
U00358,User358,66.78
U00359,User359,40.29
U00360,User360,52.64
U00361,User361,24.72
U00362,User362,56.81
U00363,User363,12.5
U00364,User364,15.62
U00365,User365,5.74
U00366,User366,94.22
U00367,User367,93.82
U00368,User368,14.0
U00369,User369,43.98
U00370,User370,86.73
U00371,User371,36.7
U00372,User372,56.83
U00373,User373,16.44
U00374,User374,81.02
U00375,User375,61.32
U00376,User376,88.51
U00377,User377,90.47
U00378,User378,30.92
U00379,User379,98.98
U00380,User380,29.78
U00381,User381,88.22
U00382,User382,17.32
U00383,User383,43.62
U00384,User384,35.36
U00385,User385,36.61
U00386,User386,90.04
U00387,User387,9.47
U00388,User388,97.14
U00389,User389,22.7
U00390,User390,46.11
U00391,User391,93.22
U00392,User392,83.16
U00393,User393,87.69
U00394,User394,33.14
U00395,User395,48.56
U00396,User396,44.27
U00397,User397,42.7
U00398,User398,90.73
U00399,User399,54.29
U00400,User400,24.28
U00401,User401,21.85
U00402,User402,90.96
U00403,User403,6.5
U00404,User404,31.99
U00405,User405,81.4
U00406,User406,33.8
U00407,User407,17.16
U00408,User408,4.22
U00409,User409,71.71
U00410,User410,13.01
U00411,User411,30.9
U00412,User412,98.71
U00413,User413,1.33
U00414,User414,31.95
U00415,User415,40.85
U00416,User416,79.36
U00417,User417,27.15
U00418,User418,76.39
U00419,User419,16.11
U00420,User420,54.46
U00421,User421,51.73
U00422,User422,94.57
U00423,User423,24.83
U00424,User424,89.35
U00425,User425,6.89
U00426,User426,86.05
U00427,User427,46.12
U00428,User428,95.6
U00429,User429,65.99
U00430,User430,42.96
U00431,User431,36.91
U00432,User432,24.44
U00433,User433,98.17
U00434,User434,22.96
U00435,User435,21.29
U00436,User436,68.78
U00437,User437,43.73
U00438,User438,87.12
U00439,User439,58.87
U00440,User440,4.09
U00441,User441,48.58
U00442,User442,37.79
U00443,User443,46.7
U00444,User444,36.27
U00445,User445,55.18
U00446,User446,59.76
U00447,User447,10.29
U00448,User448,48.02
U00449,User449,38.98
U00450,User450,15.79
U00451,User451,17.4
U00452,User452,87.12
U00453,User453,72.8
U00454,User454,62.07
U00455,User455,39.78
U00456,User456,87.49
U00457,User457,52.4
U00458,User458,15.11
U00459,User459,54.31
U00460,User460,83.79
U00461,User461,12.11
U00462,User462,61.45
U00463,User463,57.56
U00464,User464,26.02
U00465,User465,88.2
U00466,User466,72.46
U00467,User467,25.5
U00468,User468,17.5
U00469,User469,33.12
U00470,User470,22.11
U00471,User471,35.65
U00472,User472,63.1
U00473,User473,11.24
U00474,User474,40.48
U00475,User475,43.71
U00476,User476,42.21
U00477,User477,45.77
U00478,User478,58.59
U00479,User479,84.7
U00480,User480,95.77
U00481,User481,56.96
U00482,User482,23.09
U00483,User483,87.47
U00484,User484,96.02
U00485,User485,95.37
U00486,User486,17.34
U00487,User487,14.79
U00488,User488,75.87
U00489,User489,12.3
U00490,User490,83.17
U00491,User491,24.22
U00492,User492,38.52
U00493,User493,19.14
U00494,User494,37.21
U00495,User495,10.22
U00496,User496,94.74
U00497,User497,35.2
U00498,User498,57.46
U00499,User499,58.02
U00500,User500,14.47
U00501,User501,97.36
U00502,User502,66.4
U00503,User503,58.26
U00504,User504,48.2
U00505,User505,89.81
U00506,User506,50.51
U00507,User507,28.32
U00508,User508,30.96
U00509,User509,66.45
U00510,User510,97.4
U00511,User511,26.09
U00512,User512,19.48
U00513,User513,50.19
U00514,User514,62.95
U00515,User515,5.48
U00516,User516,56.76
U00517,User517,81.12
U00518,User518,93.7
U00519,User519,46.64
U00520,User520,55.59
U00521,User521,94.96
U00522,User522,4.95
U00523,User523,87.31
U00524,User524,61.59
U00525,User525,96.64
U00526,User526,12.62
U00527,User527,9.81
U00528,User528,49.15
U00529,User529,69.61
U00530,User530,12.29
U00531,User531,71.47
U00532,User532,21.43
U00533,User533,1.31
U00534,User534,53.52
U00535,User535,31.85
U00536,User536,91.21
U00537,User537,84.85
U00538,User538,1.31
U00539,User539,88.11
U00540,User540,55.84
U00541,User541,80.56
U00542,User542,94.28
U00543,User543,47.94
U00544,User544,6.31
U00545,User545,35.64
U00546,User546,97.93
U00547,User547,76.2
U00548,User548,50.5
U00549,User549,93.89
U00550,User550,32.15
U00551,User551,43.63
U00552,User552,99.18
U00553,User553,39.56
U00554,User554,35.43
U00555,User555,82.58
U00556,User556,88.84
U00557,User557,25.16
U00558,User558,19.75
U00559,User559,53.51
U00560,User560,48.73
U00561,User561,16.72
U00562,User562,24.69
U00563,User563,60.18
U00564,User564,12.91
U00565,User565,95.04
U00566,User566,20.59
U00567,User567,15.21
U00568,User568,75.26
U00569,User569,8.29
U00570,User570,13.88
U00571,User571,75.84
U00572,User572,42.54
U00573,User573,18.13
U00574,User574,27.51
U00575,User575,19.05
U00576,User576,55.82
U00577,User577,51.64
U00578,User578,46.87
U00579,User579,93.61
U00580,User580,13.18
U00581,User581,42.65
U00582,User582,79.31
U00583,User583,39.81
U00584,User584,3.47
U00585,User585,42.43
U00586,User586,21.84
U00587,User587,19.35
U00588,User588,95.29
U00589,User589,38.87
U00590,User590,8.31
U00591,User591,28.78
U00592,User592,28.27
U00593,User593,30.25
U00594,User594,71.63
U00595,User595,90.86
U00596,User596,98.51
U00597,User597,49.1
U00598,User598,28.33
U00599,User599,15.03
U00600,User600,62.32
U00601,User601,86.82
U00602,User602,16.6
U00603,User603,42.29
U00604,User604,35.5
U00605,User605,5.8
U00606,User606,58.25
U00607,User607,55.34
U00608,User608,98.33
U00609,User609,82.42
U00610,User610,73.05
U00611,User611,62.4
U00612,User612,92.02
U00613,User613,8.22
U00614,User614,49.59
U00615,User615,74.41
U00616,User616,55.5
U00617,User617,21.28
U00618,User618,43.62
U00619,User619,55.94
U00620,User620,80.6
U00621,User621,24.25
U00622,User622,54.34
U00623,User623,82.06
U00624,User624,57.17
U00625,User625,40.97
U00626,User626,39.96
U00627,User627,24.57
U00628,User628,9.18
U00629,User629,2.19
U00630,User630,27.98
U00631,User631,98.62
U00632,User632,37.18
U00633,User633,8.18
U00634,User634,64.1
U00635,User635,17.18
U00636,User636,11.27
U00637,User637,52.75
U00638,User638,14.98
U00639,User639,3.71
U00640,User640,50.96
U00641,User641,49.72
U00642,User642,94.73
U00643,User643,65.17
U00644,User644,67.02
U00645,User645,67.34
U00646,User646,62.02
U00647,User647,83.98
U00648,User648,38.89
U00649,User649,47.94
U00650,User650,40.23
U00651,User651,30.83
U00652,User652,13.0
U00653,User653,93.15
U00654,User654,72.19
U00655,User655,83.06
U00656,User656,65.22
U00657,User657,42.88
U00658,User658,55.06
U00659,User659,32.92
U00660,User660,83.84
U00661,User661,14.01
U00662,User662,48.62
U00663,User663,95.49
U00664,User664,9.42
U00665,User665,81.03
U00666,User666,9.6
U00667,User667,67.46
U00668,User668,25.73
U00669,User669,84.97
U00670,User670,85.5
U00671,User671,79.45
U00672,User672,99.87
U00673,User673,81.62
U00674,User674,54.79
U00675,User675,56.96
U00676,User676,65.57
U00677,User677,32.96
U00678,User678,17.79
U00679,User679,70.5
U00680,User680,47.77
U00681,User681,4.94
U00682,User682,34.33
U00683,User683,71.35
U00684,User684,99.29
U00685,User685,9.86
U00686,User686,54.33
U00687,User687,76.13
U00688,User688,14.37
U00689,User689,39.0
U00690,User690,32.56
U00691,User691,37.21
U00692,User692,1.0
U00693,User693,14.91
U00694,User694,61.42
U00695,User695,32.33
U00696,User696,59.43
U00697,User697,46.63
U00698,User698,75.4
U00699,User699,49.29
U00700,User700,78.65
U00701,User701,42.11
U00702,User702,67.14
U00703,User703,85.74
U00704,User704,99.32
U00705,User705,40.23
U00706,User706,31.47
U00707,User707,74.96
U00708,User708,9.26
U00709,User709,31.17
U00710,User710,33.83
U00711,User711,17.21
U00712,User712,86.54
U00713,User713,50.61
U00714,User714,44.96
U00715,User715,60.86
U00716,User716,42.28
U00717,User717,83.48
U00718,User718,10.18
U00719,User719,69.65
U00720,User720,83.76
U00721,User721,95.48
U00722,User722,16.79
U00723,User723,32.54
U00724,User724,89.52
U00725,User725,59.32
U00726,User726,89.75
U00727,User727,5.2
U00728,User728,27.46
U00729,User729,90.5
U00730,User730,96.66
U00731,User731,35.28
U00732,User732,13.01
U00733,User733,83.73
U00734,User734,75.96
U00735,User735,11.43
U00736,User736,10.18
U00737,User737,13.26
U00738,User738,25.9
U00739,User739,82.9
U00740,User740,2.99
U00741,User741,63.19
U00742,User742,50.12
U00743,User743,78.06
U00744,User744,59.01
U00745,User745,31.9
U00746,User746,11.86
U00747,User747,78.83
U00748,User748,56.55
U00749,User749,39.84
U00750,User750,81.57
U00751,User751,7.38
U00752,User752,90.08
U00753,User753,34.11
U00754,User754,59.88
U00755,User755,82.53
U00756,User756,48.19
U00757,User757,10.59
U00758,User758,92.76
U00759,User759,28.75
U00760,User760,18.31
U00761,User761,13.65
U00762,User762,52.82
U00763,User763,20.98
U00764,User764,96.31
U00765,User765,42.35
U00766,User766,92.06
U00767,User767,30.38
U00768,User768,8.98
U00769,User769,85.61
U00770,User770,46.94
U00771,User771,43.23
U00772,User772,32.16
U00773,User773,39.68
U00774,User774,57.09
U00775,User775,95.93
U00776,User776,72.18
U00777,User777,57.91
U00778,User778,37.41
U00779,User779,52.89
U00780,User780,4.01
U00781,User781,42.37
U00782,User782,30.03
U00783,User783,85.88
U00784,User784,37.32
U00785,User785,31.39
U00786,User786,74.83
U00787,User787,86.54
U00788,User788,76.47
U00789,User789,32.42
U00790,User790,53.35
U00791,User791,21.42
U00792,User792,79.25
U00793,User793,41.4
U00794,User794,54.14
U00795,User795,49.33
U00796,User796,58.11
U00797,User797,6.65
U00798,User798,64.04
U00799,User799,95.36
U00800,User800,67.32
U00801,User801,30.92
U00802,User802,17.25
U00803,User803,85.61
U00804,User804,51.23
U00805,User805,70.54
U00806,User806,96.0
U00807,User807,13.71
U00808,User808,63.35
U00809,User809,39.23
U00810,User810,14.11
U00811,User811,25.68
U00812,User812,94.45
U00813,User813,44.62
U00814,User814,19.6
U00815,User815,16.71
U00816,User816,27.95
U00817,User817,23.48
U00818,User818,11.65
U00819,User819,80.34
U00820,User820,24.07
U00821,User821,12.63
U00822,User822,91.16
U00823,User823,45.6
U00824,User824,44.32
U00825,User825,80.42
U00826,User826,9.22
U00827,User827,64.69
U00828,User828,83.29
U00829,User829,49.57
U00830,User830,84.16
U00831,User831,39.52
U00832,User832,55.77
U00833,User833,58.04
U00834,User834,54.09
U00835,User835,16.11
U00836,User836,37.65
U00837,User837,80.96
U00838,User838,70.9
U00839,User839,25.11
U00840,User840,1.51
U00841,User841,24.24
U00842,User842,21.32
U00843,User843,29.08
U00844,User844,80.93
U00845,User845,55.33
U00846,User846,93.99
U00847,User847,86.58
U00848,User848,7.04
U00849,User849,56.58
U00850,User850,85.51
U00851,User851,89.2
U00852,User852,63.96
U00853,User853,71.38
U00854,User854,67.71
U00855,User855,17.77
U00856,User856,27.22
U00857,User857,32.15
U00858,User858,79.03
U00859,User859,51.97
U00860,User860,56.27
U00861,User861,94.63
U00862,User862,41.49
U00863,User863,95.75
U00864,User864,75.05
U00865,User865,19.29
U00866,User866,33.81
U00867,User867,56.43
U00868,User868,95.94
U00869,User869,44.87
U00870,User870,9.4
U00871,User871,93.09
U00872,User872,77.78
U00873,User873,12.7
U00874,User874,19.73
U00875,User875,31.16
U00876,User876,60.35
U00877,User877,96.39
U00878,User878,25.44
U00879,User879,11.44
U00880,User880,14.49
U00881,User881,26.37
U00882,User882,32.45
U00883,User883,31.14
U00884,User884,55.8
U00885,User885,92.89
U00886,User886,91.59
U00887,User887,28.56
U00888,User888,73.97
U00889,User889,28.56
U00890,User890,75.05
U00891,User891,43.03
U00892,User892,96.12
U00893,User893,83.86
U00894,User894,9.26
U00895,User895,39.6
U00896,User896,78.9
U00897,User897,40.84
U00898,User898,94.4
U00899,User899,10.47
U00900,User900,88.28
U00901,User901,60.67
U00902,User902,51.33
U00903,User903,37.28
U00904,User904,33.77
U00905,User905,79.17
U00906,User906,38.44
U00907,User907,79.1
U00908,User908,96.53
U00909,User909,32.22
U00910,User910,43.42
U00911,User911,94.08
U00912,User912,98.62
U00913,User913,84.63
U00914,User914,55.65
U00915,User915,23.57
U00916,User916,51.32
U00917,User917,88.07
U00918,User918,52.91
U00919,User919,4.42
U00920,User920,54.48
U00921,User921,63.66
U00922,User922,4.68
U00923,User923,39.42
U00924,User924,22.97
U00925,User925,67.99
U00926,User926,80.3
U00927,User927,79.23
U00928,User928,11.21
U00929,User929,2.19
U00930,User930,28.09
U00931,User931,17.35
U00932,User932,21.45
U00933,User933,60.43
U00934,User934,12.12
U00935,User935,24.02
U00936,User936,2.94
U00937,User937,69.5
U00938,User938,50.1
U00939,User939,33.24
U00940,User940,11.42
U00941,User941,73.52
U00942,User942,28.16
U00943,User943,44.18
U00944,User944,47.42
U00945,User945,98.6
U00946,User946,52.64
U00947,User947,67.4
U00948,User948,55.53
U00949,User949,19.84
U00950,User950,25.58
U00951,User951,16.19
U00952,User952,63.08
U00953,User953,10.82
U00954,User954,52.49
U00955,User955,51.98
U00956,User956,62.85
U00957,User957,14.2
U00958,User958,55.04
U00959,User959,42.68
U00960,User960,30.22
U00961,User961,57.53
U00962,User962,9.98
U00963,User963,42.02
U00964,User964,78.24
U00965,User965,56.78
U00966,User966,78.47
U00967,User967,38.25
U00968,User968,69.26
U00969,User969,51.79
U00970,User970,67.66
U00971,User971,91.27
U00972,User972,50.6
U00973,User973,67.99
U00974,User974,41.72
U00975,User975,85.53
U00976,User976,49.22
U00977,User977,48.64
U00978,User978,91.38
U00979,User979,0.84
U00980,User980,35.39
U00981,User981,7.67
U00982,User982,51.74
U00983,User983,35.19
U00984,User984,74.57
U00985,User985,67.31
U00986,User986,35.72
U00987,User987,45.48
U00988,User988,75.77
U00989,User989,80.6
U00990,User990,75.35
U00991,User991,53.14
U00992,User992,54.62
U00993,User993,71.52
U00994,User994,51.84
U00995,User995,16.33
U00996,User996,50.41
U00997,User997,53.78
U00998,User998,8.03
U00999,User999,97.11
