id,user_id,merchant_id,device_id,ip_id,amount,timestamp,status
T0000023,U00369,M00029,D00108,IP00997,6511.57,2024-02-18T21:56:25.579537,Approved
T0000024,U00070,M00029,D00409,IP00882,2042.58,2023-11-17T21:56:25.579544,Approved
T0000025,U00168,M00024,D00022,IP00819,15244.24,2024-03-04T21:56:25.579552,Approved
T0000026,U00426,M00066,D00123,IP00817,9100.85,2024-06-27T21:56:25.579559,Approved
T0000027,U00918,M00069,D00418,IP00032,16771.58,2023-11-18T21:56:25.579567,Declined
T0000028,U00263,M00076,D00373,IP00396,8554.46,2024-09-07T21:56:25.579574,Approved
T0000029,U00442,M00030,D00133,IP00430,12603.71,2024-06-04T21:56:25.579582,Declined
T0000030,U00954,M00092,D00094,IP00632,6194.95,2023-11-13T21:56:25.579589,Approved
T0000031,U00538,M00048,D00030,IP00508,12444.2,2024-07-21T21:56:25.579601,Flagged
T0000032,U00287,M00004,D00124,IP00041,142.06,2023-10-08T21:56:25.579617,Declined
T0000033,U00116,M00005,D00386,IP00903,10627.51,2024-03-03T21:56:25.579625,Approved
T0000034,U00456,M00003,D00107,IP00278,5333.54,2024-05-02T21:56:25.579634,Approved
T0000035,U00116,M00048,D00415,IP00721,1294.68,2023-10-18T21:56:25.579642,Approved
T0000036,U00703,M00037,D00263,IP00577,530.69,2024-08-22T21:56:25.579650,Declined
T0000037,U00196,M00009,D00379,IP00242,13557.84,2024-06-08T21:56:25.579657,Approved
T0000038,U00347,M00046,D00442,IP00093,6023.7,2024-07-18T21:56:25.579665,Declined
T0000039,U00952,M00077,D00345,IP00162,14853.91,2024-02-03T21:56:25.579694,Approved
T0000040,U00187,M00039,D00144,IP00407,3548.29,2023-11-09T21:56:25.579740,Approved
T0000041,U00422,M00083,D00328,IP00495,7724.01,2023-12-05T21:56:25.579753,Approved
T0000042,U00973,M00042,D00282,IP00763,13928.77,2024-05-18T21:56:25.579761,Approved
T0000043,U00433,M00025,D00125,IP00223,999.0,2024-01-13T21:56:25.579770,Declined
T0000044,U00768,M00031,D00125,IP00658,276.5,2024-07-08T21:56:25.579778,Approved
T0000045,U00253,M00094,D00496,IP00683,13168.38,2024-02-20T21:56:25.579785,Approved
T0000046,U00576,M00005,D00218,IP00566,9085.01,2024-02-20T21:56:25.579793,Approved
T0000047,U00516,M00024,D00169,IP00593,6079.78,2024-05-28T21:56:25.579801,Declined
T0000048,U00867,M00090,D00241,IP00997,1207.09,2024-05-29T21:56:25.579810,Approved
T0000049,U00600,M00086,D00098,IP00075,4164.11,2024-03-12T21:56:25.579820,Approved
T0000050,U00267,M00017,D00433,IP00524,10529.45,2024-09-05T21:56:25.579828,Approved
T0000051,U00942,M00006,D00228,IP00610,7877.52,2024-02-05T21:56:25.579836,Declined
T0000052,U00353,M00007,D00079,IP00937,16556.72,2024-06-28T21:56:25.579843,Approved
T0000053,U00678,M00019,D00328,IP00670,11066.22,2024-08-22T21:56:25.579851,Approved
T0000054,U00509,M00038,D00217,IP00530,8989.87,2024-01-11T21:56:25.579861,Approved
T0000055,U00269,M00018,D00218,IP00994,17040.16,2023-12-11T21:56:25.579869,Approved
T0000056,U00830,M00021,D00405,IP00799,17762.66,2023-10-11T21:56:25.579877,Approved
T0000057,U00368,M00008,D00056,IP00476,852.26,2024-01-12T21:56:25.579885,Approved
T0000058,U00913,M00056,D00027,IP00397,10243.34,2023-11-26T21:56:25.579893,Approved
T0000059,U00436,M00072,D00074,IP00203,6473.2,2024-09-26T21:56:25.579921,Approved
T0000060,U00420,M00042,D00336,IP00349,3274.04,2024-09-13T21:56:25.579929,Approved
T0000061,U00325,M00050,D00391,IP00662,2663.21,2023-12-07T21:56:25.579936,Approved
T0000062,U00746,M00005,D00300,IP00333,12694.61,2024-08-27T21:56:25.579944,Declined
T0000063,U00834,M00008,D00448,IP00942,9825.31,2024-03-26T21:56:25.579951,Approved
T0000064,U00177,M00035,D00101,IP00606,951.18,2023-11-17T21:56:25.579959,Approved
T0000065,U00679,M00014,D00217,IP00722,5567.83,2024-08-06T21:56:25.579968,Approved
T0000066,U00790,M00068,D00277,IP00172,12741.5,2024-04-11T21:56:25.579976,Approved
T0000067,U00641,M00029,D00136,IP00505,18493.41,2024-01-11T21:56:25.579984,Declined
T0000068,U00960,M00084,D00112,IP00218,9908.39,2024-08-23T21:56:25.579993,Declined
T0000069,U00116,M00037,D00482,IP00373,9366.83,2024-08-04T21:56:25.580001,Approved
T0000070,U00103,M00029,D00308,IP00615,10757.66,2024-03-24T21:56:25.580009,Approved
T0000071,U00843,M00036,D00121,IP00709,1071.19,2024-04-14T21:56:25.580016,Approved
T0000072,U00763,M00069,D00174,IP00554,4118.51,2024-01-10T21:56:25.580023,Approved
T0000073,U00524,M00080,D00363,IP00904,4095.46,2024-08-18T21:56:25.580033,Approved
T0000074,U00213,M00034,D00255,IP00837,5318.86,2024-02-20T21:56:25.580040,Approved
T0000075,U00719,M00080,D00393,IP00527,4066.06,2024-08-24T21:56:25.580047,Approved
T0000076,U00956,M00054,D00389,IP00637,6095.54,2024-04-20T21:56:25.580055,Approved
T0000077,U00517,M00088,D00250,IP00096,17412.72,2024-02-16T21:56:25.580066,Approved
T0000078,U00176,M00012,D00063,IP00325,18657.14,2024-03-04T21:56:25.580074,Approved
T0000079,U00940,M00096,D00015,IP00762,8836.52,2024-07-04T21:56:25.580081,Approved
T0000080,U00538,M00041,D00131,IP00140,16797.85,2024-08-19T21:56:25.580088,Approved
T0000081,U00766,M00009,D00202,IP00553,8602.19,2023-12-05T21:56:25.580096,Flagged
T0000082,U00861,M00049,D00132,IP00024,4984.56,2024-04-06T21:56:25.580104,Approved
T0000083,U00014,M00070,D00136,IP00966,9757.39,2023-12-15T21:56:25.580114,Approved
T0000084,U00656,M00029,D00002,IP00908,1096.45,2023-10-28T21:56:25.580122,Approved
T0000085,U00623,M00065,D00102,IP00454,6398.81,2023-10-07T21:56:25.580130,Declined
T0000086,U00128,M00082,D00400,IP00804,13685.01,2024-05-30T21:56:25.580137,Approved
T0000087,U00529,M00041,D00445,IP00136,11451.64,2023-12-20T21:56:25.580146,Declined
T0000088,U00254,M00059,D00025,IP00687,13253.65,2023-12-30T21:56:25.580154,Approved
T0000089,U00792,M00077,D00174,IP00049,3078.46,2024-07-26T21:56:25.580162,Approved
T0000090,U00763,M00026,D00474,IP00890,666.97,2024-06-26T21:56:25.580169,Approved
T0000091,U00399,M00025,D00281,IP00016,5890.99,2024-02-16T21:56:25.580177,Approved
T0000092,U00656,M00017,D00353,IP00745,11360.88,2024-09-08T21:56:25.580184,Approved
T0000093,U00054,M00019,D00038,IP00497,2967.81,2024-09-16T21:56:25.580194,Approved
T0000094,U00977,M00011,D00386,IP00516,9215.03,2024-07-03T21:56:25.580202,Approved
T0000095,U00210,M00009,D00016,IP00149,2136.19,2024-03-04T21:56:25.580209,Approved
T0000096,U00341,M00071,D00050,IP00800,7970.86,2024-06-26T21:56:25.580216,Approved
T0000097,U00521,M00072,D00361,IP00705,11081.95,2024-03-19T21:56:25.580223,Flagged
T0000098,U00481,M00042,D00283,IP00115,8786.86,2024-06-16T21:56:25.580231,Approved
T0000099,U00083,M00056,D00419,IP00545,7802.03,2023-10-15T21:56:25.580241,Approved
T0000100,U00482,M00008,D00063,IP00478,7893.98,2024-08-20T21:56:25.580248,Approved
T0000101,U00060,M00011,D00397,IP00252,12929.01,2024-08-15T21:56:25.580256,Approved
T0000102,U00785,M00098,D00136,IP00488,5522.82,2024-06-04T21:56:25.580263,Approved
T0000103,U00927,M00065,D00214,IP00464,6111.23,2023-11-05T21:56:25.580270,Declined
T0000104,U00495,M00017,D00032,IP00277,1218.15,2024-02-02T21:56:25.580278,Approved
T0000105,U00096,M00032,D00471,IP00615,14487.19,2024-02-29T21:56:25.580285,Declined
T0000106,U00138,M00078,D00295,IP00909,10039.79,2023-10-19T21:56:25.580293,Approved
T0000107,U00043,M00047,D00229,IP00235,10654.68,2024-08-02T21:56:25.580300,Approved
T0000108,U00470,M00075,D00155,IP00662,9549.28,2024-03-20T21:56:25.580308,Approved
T0000109,U00756,M00023,D00301,IP00608,11771.31,2024-06-17T21:56:25.580319,Approved
T0000110,U00096,M00070,D00247,IP00710,10113.62,2024-09-07T21:56:25.580326,Flagged
T0000111,U00286,M00009,D00359,IP00363,7756.31,2024-05-18T21:56:25.580333,Approved
T0000112,U00566,M00044,D00098,IP00163,14676.92,2023-12-06T21:56:25.580343,Approved
T0000113,U00152,M00013,D00275,IP00524,917.62,2024-05-30T21:56:25.580350,Approved
T0000114,U00585,M00048,D00380,IP00976,10425.91,2024-03-19T21:56:25.580358,Approved
T0000115,U00970,M00094,D00069,IP00522,14386.4,2023-10-13T21:56:25.580365,Approved
T0000116,U00580,M00082,D00193,IP00336,6372.58,2024-09-06T21:56:25.580373,Approved
T0000117,U00018,M00038,D00365,IP00513,18581.71,2024-06-17T21:56:25.580380,Approved
T0000118,U00601,M00081,D00474,IP00706,18697.72,2024-04-10T21:56:25.580387,Declined
T0000119,U00965,M00034,D00257,IP00587,16244.68,2023-10-29T21:56:25.580397,Approved
T0000120,U00063,M00008,D00306,IP00119,3544.22,2023-11-08T21:56:25.580404,Approved
T0000121,U00678,M00033,D00244,IP00477,11523.2,2024-06-16T21:56:25.580412,Flagged
T0000122,U00231,M00088,D00488,IP00455,3667.97,2024-09-23T21:56:25.580419,Approved
T0000123,U00554,M00036,D00330,IP00593,16794.21,2023-12-11T21:56:25.580427,Approved
T0000124,U00844,M00075,D00171,IP00603,4490.46,2024-09-18T21:56:25.580434,Declined
T0000125,U00595,M00046,D00411,IP00523,10885.05,2023-10-09T21:56:25.580441,Approved
T0000126,U00527,M00087,D00146,IP00020,8117.07,2024-02-20T21:56:25.580449,Flagged
T0000127,U00822,M00045,D00472,IP00180,19716.38,2024-06-26T21:56:25.580456,Declined
T0000128,U00207,M00065,D00408,IP00476,16978.27,2024-07-07T21:56:25.580464,Approved
T0000129,U00299,M00086,D00255,IP00844,2277.64,2024-02-28T21:56:25.580473,Declined
T0000130,U00882,M00032,D00317,IP00598,11944.03,2024-09-05T21:56:25.580482,Approved
T0000131,U00230,M00034,D00305,IP00149,660.89,2024-04-20T21:56:25.580490,Approved
T0000132,U00855,M00021,D00220,IP00458,2886.14,2024-01-05T21:56:25.580499,Approved
T0000133,U00474,M00057,D00385,IP00830,13954.8,2024-02-20T21:56:25.580508,Approved
T0000134,U00853,M00010,D00195,IP00210,18489.9,2023-10-27T21:56:25.580516,Approved
T0000135,U00780,M00023,D00381,IP00969,4509.16,2023-12-11T21:56:25.580524,Approved
T0000136,U00872,M00018,D00123,IP00016,4289.58,2024-06-02T21:56:25.580531,Approved
T0000137,U00179,M00080,D00423,IP00335,1414.46,2024-05-22T21:56:25.580538,Approved
T0000138,U00734,M00071,D00123,IP00025,6438.56,2024-04-30T21:56:25.580545,Approved
T0000139,U00843,M00068,D00014,IP00752,1939.9,2024-06-30T21:56:25.580553,Approved
T0000140,U00158,M00095,D00078,IP00193,732.44,2024-02-25T21:56:25.580561,Approved
T0000141,U00711,M00022,D00134,IP00591,1718.14,2024-03-02T21:56:25.580571,Declined
T0000142,U00604,M00033,D00069,IP00144,6082.05,2024-01-30T21:56:25.580578,Approved
T0000143,U00086,M00008,D00483,IP00859,14145.11,2023-10-04T21:56:25.580588,Declined
T0000144,U00488,M00016,D00369,IP00330,15154.45,2024-01-01T21:56:25.580595,Approved
T0000145,U00229,M00038,D00314,IP00383,1475.47,2024-06-22T21:56:25.580603,Approved
T0000146,U00716,M00017,D00397,IP00941,9167.35,2024-02-19T21:56:25.580611,Approved
T0000147,U00371,M00059,D00132,IP00658,5236.39,2024-04-23T21:56:25.580618,Approved
T0000148,U00099,M00020,D00079,IP00862,19248.85,2024-09-08T21:56:25.580625,Approved
T0000149,U00973,M00071,D00266,IP00580,1357.55,2023-12-25T21:56:25.580633,Declined
T0000150,U00860,M00079,D00446,IP00843,14943.26,2023-12-23T21:56:25.580641,Flagged
T0000151,U00790,M00067,D00166,IP00617,13792.8,2024-09-09T21:56:25.580652,Approved
T0000152,U00446,M00077,D00399,IP00607,17751.32,2024-02-27T21:56:25.580660,Declined
T0000153,U00967,M00044,D00278,IP00384,9551.39,2023-10-07T21:56:25.580667,Approved
T0000154,U00609,M00054,D00199,IP00120,17125.07,2024-03-11T21:56:25.580675,Approved
T0000155,U00940,M00089,D00145,IP00853,17809.92,2023-11-09T21:56:25.580682,Approved
T0000156,U00498,M00067,D00111,IP00197,9564.2,2023-10-30T21:56:25.580689,Flagged
T0000157,U00738,M00014,D00356,IP00806,15142.14,2024-01-29T21:56:25.580697,Approved
T0000158,U00372,M00017,D00324,IP00235,19970.51,2024-09-18T21:56:25.580704,Declined
T0000159,U00641,M00000,D00455,IP00456,2773.97,2024-08-13T21:56:25.580712,Approved
T0000160,U00177,M00042,D00199,IP00278,16849.13,2024-05-30T21:56:25.580719,Declined
T0000161,U00939,M00058,D00089,IP00176,12675.47,2024-07-16T21:56:25.580726,Approved
T0000162,U00413,M00044,D00222,IP00259,14587.24,2024-01-19T21:56:25.580735,Approved
T0000163,U00071,M00047,D00437,IP00729,514.15,2023-12-15T21:56:25.580743,Approved
T0000164,U00881,M00006,D00226,IP00883,1150.57,2024-05-17T21:56:25.580750,Approved
T0000165,U00200,M00001,D00307,IP00633,12743.6,2024-01-29T21:56:25.580758,Approved
T0000166,U00072,M00081,D00167,IP00117,9116.6,2024-01-18T21:56:25.580765,Approved
T0000167,U00596,M00090,D00431,IP00753,12827.74,2024-08-14T21:56:25.580773,Approved
T0000168,U00242,M00086,D00386,IP00287,10713.87,2024-03-14T21:56:25.580780,Approved
T0000169,U00784,M00002,D00464,IP00875,3843.24,2024-01-07T21:56:25.580788,Approved
T0000170,U00715,M00010,D00176,IP00916,4912.64,2024-07-07T21:56:25.580795,Approved
T0000171,U00615,M00017,D00312,IP00536,1010.03,2024-08-03T21:56:25.580805,Approved
T0000172,U00695,M00092,D00074,IP00245,7508.24,2023-10-04T21:56:25.580814,Approved
T0000173,U00303,M00069,D00484,IP00448,14757.24,2024-02-21T21:56:25.580822,Approved
T0000174,U00018,M00029,D00069,IP00630,9013.24,2024-09-19T21:56:25.580830,Approved
T0000175,U00509,M00027,D00214,IP00484,10952.58,2024-08-12T21:56:25.580837,Approved
T0000176,U00999,M00011,D00220,IP00852,6299.54,2024-05-03T21:56:25.580844,Approved
T0000177,U00780,M00025,D00082,IP00082,314.79,2024-04-30T21:56:25.580852,Approved
T0000178,U00642,M00036,D00171,IP00993,5672.28,2023-12-26T21:56:25.580859,Approved
T0000179,U00382,M00049,D00034,IP00140,9305.83,2024-09-23T21:56:25.580867,Approved
T0000180,U00601,M00005,D00119,IP00956,19419.47,2024-01-22T21:56:25.580874,Approved
T0000181,U00240,M00023,D00493,IP00512,2196.74,2024-04-09T21:56:25.580882,Approved
T0000182,U00377,M00091,D00212,IP00983,6413.0,2024-01-06T21:56:25.580889,Declined
T0000183,U00983,M00046,D00217,IP00280,4791.83,2023-10-28T21:56:25.580897,Approved
T0000184,U00778,M00048,D00194,IP00095,4537.49,2024-04-08T21:56:25.580908,Approved
T0000185,U00501,M00042,D00047,IP00282,5260.5,2024-04-25T21:56:25.580916,Approved
T0000186,U00045,M00070,D00400,IP00405,2272.54,2024-09-26T21:56:25.580923,Flagged
T0000187,U00980,M00043,D00346,IP00233,5075.13,2024-02-10T21:56:25.580930,Approved
T0000188,U00311,M00068,D00361,IP00978,8625.88,2023-10-28T21:56:25.580937,Declined
T0000189,U00287,M00078,D00318,IP00952,15890.46,2024-02-06T21:56:25.580945,Approved
T0000190,U00335,M00009,D00305,IP00815,19140.89,2024-01-28T21:56:25.580954,Approved
T0000191,U00229,M00048,D00187,IP00935,8605.32,2024-03-27T21:56:25.580961,Approved
T0000192,U00029,M00085,D00054,IP00052,5977.32,2024-09-07T21:56:25.580969,Approved
T0000193,U00333,M00051,D00011,IP00440,13773.16,2024-06-19T21:56:25.580976,Approved
T0000194,U00171,M00042,D00409,IP00454,17349.68,2024-06-21T21:56:25.580985,Approved
T0000195,U00973,M00018,D00036,IP00740,12992.38,2024-07-25T21:56:25.580993,Approved
T0000196,U00082,M00056,D00057,IP00274,7806.37,2023-10-29T21:56:25.581000,Approved
T0000197,U00423,M00016,D00239,IP00229,18817.78,2024-09-29T21:56:25.581007,Approved
T0000198,U00013,M00013,D00328,IP00395,12746.77,2023-10-28T21:56:25.581014,Approved
T0000199,U00388,M00080,D00113,IP00580,18223.72,2024-04-05T21:56:25.581022,Approved
T0000200,U00765,M00074,D00193,IP00209,2673.2,2023-11-30T21:56:25.581029,Approved
T0000201,U00565,M00091,D00224,IP00903,12399.76,2024-04-30T21:56:25.581037,Declined
T0000202,U00692,M00079,D00152,IP00393,8207.41,2023-11-06T21:56:25.581044,Approved
T0000203,U00019,M00077,D00031,IP00052,8727.54,2023-12-30T21:56:25.581051,Approved
T0000204,U00053,M00012,D00485,IP00751,19043.24,2023-12-03T21:56:25.581062,Approved
T0000205,U00907,M00026,D00028,IP00061,17401.21,2024-04-11T21:56:25.581069,Approved
T0000206,U00091,M00077,D00164,IP00947,16977.56,2023-11-27T21:56:25.581077,Approved
T0000207,U00165,M00059,D00218,IP00628,7228.05,2024-07-20T21:56:25.581084,Declined
T0000208,U00601,M00075,D00312,IP00108,12112.41,2024-05-06T21:56:25.581092,Approved
T0000209,U00258,M00077,D00046,IP00732,19962.93,2024-05-28T21:56:25.581099,Flagged
T0000210,U00550,M00075,D00396,IP00794,8862.38,2024-03-29T21:56:25.581108,Approved
T0000211,U00054,M00048,D00072,IP00520,12829.03,2024-03-18T21:56:25.581115,Approved
T0000212,U00178,M00000,D00102,IP00744,16670.07,2024-04-14T21:56:25.581123,Approved
T0000213,U00185,M00016,D00067,IP00204,17681.97,2023-11-28T21:56:25.581130,Approved
T0000214,U00765,M00062,D00385,IP00410,14297.31,2024-03-23T21:56:25.581137,Declined
T0000215,U00391,M00011,D00433,IP00112,13590.77,2024-08-01T21:56:25.581147,Approved
T0000216,U00212,M00095,D00307,IP00481,1248.45,2024-04-17T21:56:25.581155,Approved
T0000217,U00413,M00023,D00459,IP00410,18436.87,2023-11-07T21:56:25.581162,Declined
T0000218,U00574,M00057,D00042,IP00508,9853.31,2024-03-07T21:56:25.581169,Approved
T0000219,U00940,M00060,D00111,IP00722,6164.04,2024-05-21T21:56:25.581177,Approved
T0000220,U00581,M00038,D00143,IP00823,7980.56,2024-07-10T21:56:25.581184,Declined
T0000221,U00889,M00042,D00097,IP00154,19591.69,2024-04-15T21:56:25.581191,Approved
T0000222,U00336,M00002,D00069,IP00425,6884.38,2024-01-03T21:56:25.581198,Approved
T0000223,U00823,M00021,D00280,IP00141,17500.62,2024-04-27T21:56:25.581206,Approved
T0000224,U00008,M00070,D00402,IP00823,17547.12,2024-01-23T21:56:25.581213,Approved
T0000225,U00556,M00016,D00434,IP00672,5394.99,2024-07-06T21:56:25.581227,Declined
T0000226,U00054,M00027,D00144,IP00373,3669.22,2023-12-24T21:56:25.581236,Declined
T0000227,U00353,M00005,D00029,IP00434,16481.97,2024-01-07T21:56:25.581244,Approved
T0000228,U00973,M00071,D00202,IP00763,9569.72,2023-10-26T21:56:25.581251,Declined
T0000229,U00956,M00007,D00460,IP00767,15816.75,2023-10-05T21:56:25.581260,Declined
T0000230,U00589,M00007,D00334,IP00750,10849.38,2024-09-27T21:56:25.581268,Approved
T0000231,U00585,M00021,D00318,IP00555,5899.71,2024-05-12T21:56:25.581275,Approved
T0000232,U00085,M00041,D00076,IP00081,3512.14,2024-02-09T21:56:25.581282,Approved
T0000233,U00578,M00045,D00049,IP00857,2827.57,2023-12-04T21:56:25.581290,Flagged
T0000234,U00577,M00025,D00478,IP00862,11139.98,2023-12-04T21:56:25.581297,Approved
T0000235,U00947,M00040,D00120,IP00884,19503.7,2024-06-25T21:56:25.581306,Approved
T0000236,U00390,M00016,D00228,IP00777,3423.88,2024-04-03T21:56:25.581316,Approved
T0000237,U00589,M00096,D00152,IP00400,9858.03,2024-05-14T21:56:25.581323,Approved
T0000238,U00409,M00096,D00427,IP00166,13106.43,2024-06-20T21:56:25.581334,Approved
T0000239,U00213,M00002,D00291,IP00253,4232.47,2024-09-08T21:56:25.581341,Approved
T0000240,U00495,M00073,D00152,IP00733,16563.89,2024-04-16T21:56:25.581349,Approved
T0000241,U00992,M00073,D00402,IP00028,17402.34,2023-11-09T21:56:25.581356,Approved
T0000242,U00531,M00041,D00386,IP00158,15915.43,2024-08-21T21:56:25.581363,Approved
T0000243,U00094,M00063,D00392,IP00939,13252.42,2024-06-21T21:56:25.581371,Approved
T0000244,U00195,M00097,D00302,IP00059,2949.72,2024-08-01T21:56:25.581378,Approved
T0000245,U00071,M00079,D00341,IP00493,3585.73,2024-02-28T21:56:25.581385,Approved
T0000246,U00926,M00079,D00093,IP00768,16470.89,2024-01-08T21:56:25.581393,Approved
T0000247,U00033,M00038,D00085,IP00495,4752.59,2024-08-08T21:56:25.581402,Approved
T0000248,U00805,M00037,D00469,IP00919,16299.95,2024-01-26T21:56:25.581409,Declined
T0000249,U00439,M00083,D00254,IP00036,18334.82,2023-12-24T21:56:25.581419,Approved
T0000250,U00099,M00048,D00275,IP00005,10308.01,2023-12-16T21:56:25.581426,Approved
T0000251,U00186,M00054,D00199,IP00395,14038.59,2024-09-29T21:56:25.581434,Approved
T0000252,U00269,M00029,D00387,IP00472,3263.58,2023-11-02T21:56:25.581441,Approved
T0000253,U00396,M00069,D00243,IP00404,14408.91,2024-08-21T21:56:25.581448,Approved
T0000254,U00915,M00083,D00231,IP00659,12638.22,2024-07-30T21:56:25.581456,Approved
T0000255,U00303,M00098,D00212,IP00359,17950.58,2024-08-31T21:56:25.581464,Declined
T0000256,U00811,M00021,D00062,IP00558,11798.69,2024-06-10T21:56:25.581471,Approved
T0000257,U00023,M00042,D00434,IP00895,11328.99,2023-11-28T21:56:25.581481,Approved
T0000258,U00505,M00047,D00487,IP00379,9953.31,2024-09-10T21:56:25.581489,Approved
T0000259,U00886,M00020,D00157,IP00418,12078.57,2024-05-15T21:56:25.581497,Approved
T0000260,U00321,M00018,D00265,IP00632,1415.72,2024-06-09T21:56:25.581504,Approved
T0000261,U00341,M00098,D00255,IP00206,1860.32,2023-11-06T21:56:25.581512,Approved
T0000262,U00802,M00086,D00326,IP00394,6297.55,2024-05-14T21:56:25.581519,Approved
T0000263,U00587,M00002,D00102,IP00194,14110.91,2023-11-17T21:56:25.581527,Declined
T0000264,U00847,M00012,D00301,IP00569,18190.49,2024-07-18T21:56:25.581534,Approved
T0000265,U00785,M00024,D00179,IP00798,5544.37,2024-01-15T21:56:25.581541,Approved
T0000266,U00457,M00004,D00393,IP00731,13241.86,2024-09-02T21:56:25.581549,Flagged
T0000267,U00160,M00078,D00084,IP00170,18281.96,2024-08-08T21:56:25.581556,Approved
T0000268,U00199,M00045,D00393,IP00315,11272.91,2024-07-24T21:56:25.581567,Declined
T0000269,U00479,M00032,D00353,IP00982,18838.98,2024-05-04T21:56:25.581579,Approved
T0000270,U00463,M00064,D00152,IP00360,13502.08,2024-01-26T21:56:25.581587,Declined
T0000271,U00223,M00024,D00047,IP00118,7620.02,2024-08-04T21:56:25.581594,Approved
T0000272,U00446,M00002,D00484,IP00090,16987.18,2024-05-04T21:56:25.581602,Declined
T0000273,U00928,M00007,D00323,IP00664,11387.37,2024-02-25T21:56:25.581610,Approved
T0000274,U00695,M00059,D00326,IP00487,14384.33,2024-02-25T21:56:25.581617,Approved
T0000275,U00738,M00071,D00327,IP00289,18717.44,2024-04-14T21:56:25.581625,Flagged
T0000276,U00962,M00006,D00497,IP00400,8535.39,2023-12-04T21:56:25.581632,Approved
T0000277,U00795,M00049,D00050,IP00703,19285.96,2024-09-28T21:56:25.581640,Approved
T0000278,U00537,M00054,D00429,IP00260,4521.98,2024-09-02T21:56:25.581647,Approved
T0000279,U00246,M00094,D00497,IP00684,10437.98,2023-10-09T21:56:25.581657,Declined
T0000280,U00713,M00014,D00324,IP00498,16773.78,2024-08-16T21:56:25.581664,Approved
T0000281,U00994,M00011,D00209,IP00991,167.92,2024-03-09T21:56:25.581671,Approved
T0000282,U00319,M00042,D00009,IP00668,19869.29,2023-10-18T21:56:25.581679,Declined
T0000283,U00334,M00068,D00454,IP00416,2689.86,2024-05-19T21:56:25.581686,Approved
T0000284,U00042,M00044,D00374,IP00967,17988.1,2024-04-21T21:56:25.581694,Declined
T0000285,U00849,M00091,D00175,IP00233,871.56,2024-06-22T21:56:25.581701,Approved
T0000286,U00874,M00043,D00229,IP00305,17738.22,2024-06-24T21:56:25.581709,Approved
T0000287,U00360,M00096,D00130,IP00208,19031.45,2024-05-28T21:56:25.581719,Approved
T0000288,U00737,M00070,D00365,IP00993,19891.33,2023-11-17T21:56:25.581729,Declined
T0000289,U00063,M00057,D00410,IP00828,10069.85,2024-05-04T21:56:25.581739,Approved
T0000290,U00758,M00055,D00497,IP00564,5202.96,2024-04-14T21:56:25.581747,Approved
T0000291,U00360,M00052,D00361,IP00699,4204.27,2024-05-20T21:56:25.581755,Declined
T0000292,U00822,M00016,D00304,IP00652,15926.71,2023-12-22T21:56:25.581762,Approved
T0000293,U00782,M00029,D00473,IP00129,16768.11,2024-04-17T21:56:25.581770,Declined
T0000294,U00489,M00084,D00396,IP00458,6122.46,2024-06-08T21:56:25.581777,Approved
T0000295,U00944,M00058,D00124,IP00804,5065.06,2024-07-03T21:56:25.581784,Approved
