id,name,risk_score
U00215,User215,87.33
U00216,User216,83.77
U00217,User217,24.7
U00218,User218,10.57
U00219,User219,71.9
U00220,User220,26.81
U00221,User221,38.72
U00222,User222,63.46
U00223,User223,71.52
U00224,User224,35.22
U00225,User225,4.37
U00226,User226,35.63
U00227,User227,63.52
U00228,User228,94.4
U00229,User229,48.85
U00230,User230,5.55
U00231,User231,24.83
U00232,User232,16.45
U00233,User233,80.93
U00234,User234,94.9
U00235,User235,13.39
U00236,User236,51.82
U00237,User237,88.9
U00238,User238,79.18
U00239,User239,59.5
U00240,User240,59.53
U00241,User241,96.31
U00242,User242,79.73
U00243,User243,8.06
U00244,User244,21.35
U00245,User245,1.19
U00246,User246,43.6
U00247,User247,26.95
U00248,User248,78.89
U00249,User249,31.69
U00250,User250,4.56
U00251,User251,42.43
U00252,User252,93.86
U00253,User253,0.01
U00254,User254,74.04
U00255,User255,8.71
U00256,User256,19.19
U00257,User257,38.35
U00258,User258,58.59
U00259,User259,36.37
U00260,User260,79.47
U00261,User261,64.26
U00262,User262,37.72
U00263,User263,20.02
U00264,User264,90.54
U00265,User265,74.61
U00266,User266,83.71
U00267,User267,9.03
U00268,User268,11.3
U00269,User269,63.07
U00270,User270,25.87
U00271,User271,72.01
U00272,User272,75.26
U00273,User273,70.39
U00274,User274,89.78
U00275,User275,17.88
U00276,User276,18.77
U00277,User277,89.78
U00278,User278,91.52
U00279,User279,89.67
U00280,User280,61.1
U00281,User281,63.84
U00282,User282,2.21
U00283,User283,77.97
U00284,User284,60.66
U00285,User285,3.86
U00286,User286,57.28
U00287,User287,15.5
U00288,User288,89.03
U00289,User289,35.28
U00290,User290,88.16
U00291,User291,94.3
U00292,User292,8.88
U00293,User293,10.95
U00294,User294,9.54
U00295,User295,34.82
U00296,User296,86.37
U00297,User297,87.49
U00298,User298,70.65
U00299,User299,47.43
U00300,User300,52.74
U00301,User301,22.3
U00302,User302,42.5
U00303,User303,2.82
U00304,User304,95.07
U00305,User305,34.64
U00306,User306,37.05
U00307,User307,47.03
U00308,User308,41.55
U00309,User309,30.35
U00310,User310,30.83
U00311,User311,60.91
U00312,User312,85.52
U00313,User313,66.01
U00314,User314,43.24
U00315,User315,5.62
U00316,User316,19.57
U00317,User317,64.14
U00318,User318,14.47
U00319,User319,66.15
U00320,User320,16.06
U00321,User321,97.23
U00322,User322,32.21
U00323,User323,9.19
U00324,User324,78.42
U00325,User325,33.88
U00326,User326,14.84
U00327,User327,20.6
U00328,User328,17.91
U00329,User329,89.78
U00330,User330,89.96
U00331,User331,83.21
U00332,User332,85.27
U00333,User333,58.57
U00334,User334,41.21
U00335,User335,25.1
U00336,User336,41.4
U00337,User337,22.95
U00338,User338,10.5
U00339,User339,13.58
U00340,User340,37.04
U00341,User341,1.27
U00342,User342,72.71
U00343,User343,81.22
U00344,User344,55.39
U00345,User345,76.35
U00346,User346,72.42
U00347,User347,26.86
U00348,User348,51.17
U00349,User349,89.98
U00350,User350,75.39
U00351,User351,81.5
U00352,User352,50.3
U00353,User353,93.35
U00354,User354,8.57
U00355,User355,3.85
U00356,User356,28.95
U00357,User357,62.42
U00358,User358,85.46
U00359,User359,66.33
U00360,User360,80.76
U00361,User361,43.65
U00362,User362,40.0
U00363,User363,24.87
U00364,User364,94.83
U00365,User365,15.94
U00366,User366,57.11
U00367,User367,47.91
U00368,User368,89.96
U00369,User369,66.76
U00370,User370,80.33
U00371,User371,39.51
U00372,User372,71.12
U00373,User373,47.07
U00374,User374,94.2
U00375,User375,96.27
U00376,User376,90.28
U00377,User377,34.16
U00378,User378,76.62
U00379,User379,97.0
U00380,User380,24.4
U00381,User381,20.65
U00382,User382,23.04
U00383,User383,18.01
U00384,User384,49.0
U00385,User385,58.86
U00386,User386,4.42
U00387,User387,54.07
U00388,User388,40.47
U00389,User389,76.29
U00390,User390,20.09
U00391,User391,96.81
U00392,User392,98.81
U00393,User393,41.64
U00394,User394,18.67
U00395,User395,31.21
U00396,User396,91.9
U00397,User397,48.67
U00398,User398,9.55
U00399,User399,90.38
U00400,User400,72.7
U00401,User401,75.5
U00402,User402,92.21
U00403,User403,10.02
U00404,User404,94.12
U00405,User405,89.12
U00406,User406,83.84
U00407,User407,71.32
U00408,User408,67.41
U00409,User409,30.56
U00410,User410,42.36
U00411,User411,36.14
U00412,User412,69.56
U00413,User413,64.8
U00414,User414,95.07
U00415,User415,71.31
U00416,User416,61.83
U00417,User417,23.17
U00418,User418,4.44
U00419,User419,77.24
U00420,User420,23.66
U00421,User421,13.29
U00422,User422,43.97
U00423,User423,3.87
U00424,User424,22.2
U00425,User425,58.94
U00426,User426,48.73
U00427,User427,66.55
U00428,User428,60.55
U00429,User429,98.76
U00430,User430,96.61
U00431,User431,26.48
U00432,User432,30.18
U00433,User433,85.53
U00434,User434,34.28
U00435,User435,29.74
U00436,User436,65.96
U00437,User437,60.41
U00438,User438,23.55
U00439,User439,13.39
U00440,User440,39.32
U00441,User441,94.26
U00442,User442,82.58
U00443,User443,1.28
U00444,User444,5.26
U00445,User445,49.64
U00446,User446,4.32
U00447,User447,31.86
U00448,User448,94.09
U00449,User449,6.87
U00450,User450,15.76
U00451,User451,78.77
U00452,User452,63.07
U00453,User453,72.55
U00454,User454,1.75
U00455,User455,24.16
U00456,User456,45.61
U00457,User457,54.65
U00458,User458,83.47
U00459,User459,53.72
U00460,User460,52.1
U00461,User461,10.22
U00462,User462,17.42
U00463,User463,52.84
U00464,User464,84.88
U00465,User465,2.53
U00466,User466,27.86
U00467,User467,35.45
U00468,User468,59.91
U00469,User469,2.37
U00470,User470,47.53
U00471,User471,8.27
U00472,User472,35.85
U00473,User473,29.67
U00474,User474,45.9
U00475,User475,75.66
U00476,User476,69.43
U00477,User477,31.56
U00478,User478,18.69
U00479,User479,1.39
U00480,User480,30.77
U00481,User481,1.5
U00482,User482,86.08
U00483,User483,62.41
U00484,User484,21.93
U00485,User485,64.94
U00486,User486,22.03
U00487,User487,47.65
U00488,User488,70.8
U00489,User489,33.93
U00490,User490,19.48
U00491,User491,35.79
U00492,User492,43.84
U00493,User493,23.45
U00494,User494,24.38
U00495,User495,84.99
U00496,User496,31.63
U00497,User497,72.73
U00498,User498,27.62
U00499,User499,37.81
U00500,User500,26.89
U00501,User501,92.96
U00502,User502,68.65
U00503,User503,33.08
U00504,User504,54.19
U00505,User505,50.64
U00506,User506,73.27
U00507,User507,42.15
U00508,User508,18.71
U00509,User509,68.74
U00510,User510,41.5
U00511,User511,29.38
U00512,User512,6.41
U00513,User513,68.4
U00514,User514,57.62
U00515,User515,57.26
U00516,User516,14.97
U00517,User517,63.23
U00518,User518,22.6
U00519,User519,65.78
U00520,User520,64.53
U00521,User521,30.23
U00522,User522,17.29
U00523,User523,81.94
U00524,User524,82.54
U00525,User525,33.13
U00526,User526,37.98
U00527,User527,9.25
U00528,User528,62.3
U00529,User529,5.67
U00530,User530,72.06
U00531,User531,42.13
U00532,User532,37.1
U00533,User533,25.15
U00534,User534,87.56
U00535,User535,88.86
U00536,User536,61.57
U00537,User537,77.42
U00538,User538,2.94
U00539,User539,40.18
U00540,User540,35.17
U00541,User541,21.16
U00542,User542,92.06
U00543,User543,87.71
U00544,User544,73.71
U00545,User545,85.66
U00546,User546,95.72
U00547,User547,60.12
U00548,User548,9.21
U00549,User549,62.22
U00550,User550,47.54
U00551,User551,15.79
U00552,User552,92.95
U00553,User553,10.12
U00554,User554,42.65
U00555,User555,81.27
U00556,User556,83.4
U00557,User557,79.21
U00558,User558,16.71
U00559,User559,27.31
U00560,User560,15.48
U00561,User561,60.52
U00562,User562,12.27
U00563,User563,99.84
U00564,User564,80.62
U00565,User565,12.08
U00566,User566,73.86
U00567,User567,46.89
U00568,User568,12.68
U00569,User569,13.42
U00570,User570,98.97
U00571,User571,46.68
U00572,User572,33.77
U00573,User573,13.87
U00574,User574,91.93
U00575,User575,88.12
U00576,User576,53.17
U00577,User577,4.58
U00578,User578,52.52
U00579,User579,4.89
U00580,User580,21.76
U00581,User581,83.04
U00582,User582,61.56
U00583,User583,32.43
U00584,User584,22.29
U00585,User585,47.21
U00586,User586,45.63
U00587,User587,61.01
U00588,User588,96.43
U00589,User589,56.56
U00590,User590,18.99
U00591,User591,77.43
U00592,User592,48.09
U00593,User593,82.93
U00594,User594,13.94
U00595,User595,42.55
U00596,User596,78.48
U00597,User597,67.86
U00598,User598,2.04
U00599,User599,65.14
U00600,User600,76.22
U00601,User601,66.46
U00602,User602,52.41
U00603,User603,73.48
U00604,User604,64.93
U00605,User605,60.79
U00606,User606,10.09
U00607,User607,88.34
U00608,User608,81.91
U00609,User609,11.97
U00610,User610,34.64
U00611,User611,95.45
U00612,User612,42.41
U00613,User613,24.64
U00614,User614,21.7
U00615,User615,95.72
U00616,User616,42.6
U00617,User617,24.9
U00618,User618,15.27
U00619,User619,9.72
U00620,User620,47.43
U00621,User621,6.29
U00622,User622,71.17
U00623,User623,26.68
U00624,User624,5.98
U00625,User625,11.12
U00626,User626,51.65
U00627,User627,46.69
U00628,User628,22.54
U00629,User629,66.29
U00630,User630,88.94
U00631,User631,87.01
U00632,User632,86.04
U00633,User633,70.09
U00634,User634,65.56
U00635,User635,74.03
U00636,User636,36.19
U00637,User637,81.93
U00638,User638,92.75
U00639,User639,63.76
U00640,User640,31.11
U00641,User641,88.48
U00642,User642,37.24
U00643,User643,10.2
U00644,User644,59.51
U00645,User645,74.77
U00646,User646,60.36
U00647,User647,46.46
U00648,User648,3.09
U00649,User649,38.21
U00650,User650,72.9
U00651,User651,0.95
U00652,User652,48.43
U00653,User653,32.49
U00654,User654,41.82
U00655,User655,90.91
U00656,User656,26.04
U00657,User657,5.06
U00658,User658,66.16
U00659,User659,56.03
U00660,User660,14.6
U00661,User661,80.44
U00662,User662,18.75
U00663,User663,34.01
U00664,User664,18.4
U00665,User665,31.33
U00666,User666,84.62
U00667,User667,13.73
U00668,User668,16.88
U00669,User669,65.91
U00670,User670,12.33
U00671,User671,72.19
U00672,User672,43.01
U00673,User673,19.46
U00674,User674,76.62
U00675,User675,21.47
U00676,User676,35.03
U00677,User677,48.64
U00678,User678,12.55
U00679,User679,25.11
U00680,User680,90.16
U00681,User681,53.71
U00682,User682,31.04
U00683,User683,29.46
U00684,User684,66.92
U00685,User685,22.29
U00686,User686,78.31
U00687,User687,58.07
U00688,User688,54.43
U00689,User689,14.34
U00690,User690,70.88
U00691,User691,93.23
U00692,User692,29.19
U00693,User693,95.09
U00694,User694,4.55
U00695,User695,33.1
U00696,User696,24.0
U00697,User697,72.41
U00698,User698,0.05
U00699,User699,22.32
U00700,User700,86.64
U00701,User701,29.9
U00702,User702,80.31
U00703,User703,9.23
U00704,User704,71.34
U00705,User705,23.67
U00706,User706,69.08
U00707,User707,36.79
U00708,User708,9.54
U00709,User709,50.75
U00710,User710,81.54
U00711,User711,45.44
U00712,User712,77.8
U00713,User713,2.38
U00714,User714,2.83
U00715,User715,44.65
U00716,User716,57.79
U00717,User717,89.42
U00718,User718,1.23
U00719,User719,81.93
U00720,User720,83.44
U00721,User721,50.19
U00722,User722,82.83
U00723,User723,41.75
U00724,User724,57.49
U00725,User725,27.41
U00726,User726,7.59
U00727,User727,94.57
U00728,User728,32.07
U00729,User729,10.96
U00730,User730,19.79
U00731,User731,90.64
U00732,User732,11.67
U00733,User733,21.97
U00734,User734,62.31
U00735,User735,58.6
U00736,User736,37.21
U00737,User737,75.83
U00738,User738,9.66
U00739,User739,82.78
U00740,User740,63.13
U00741,User741,16.51
U00742,User742,59.12
U00743,User743,81.16
U00744,User744,70.11
U00745,User745,42.06
U00746,User746,21.7
U00747,User747,28.34
U00748,User748,23.3
U00749,User749,0.47
U00750,User750,18.8
U00751,User751,47.58
U00752,User752,66.81
U00753,User753,95.67
U00754,User754,40.87
U00755,User755,10.52
U00756,User756,56.08
U00757,User757,22.4
U00758,User758,86.47
U00759,User759,55.17
U00760,User760,33.55
U00761,User761,35.0
U00762,User762,77.65
U00763,User763,66.71
U00764,User764,88.13
U00765,User765,33.11
U00766,User766,29.12
U00767,User767,40.92
U00768,User768,74.03
U00769,User769,2.32
U00770,User770,42.98
U00771,User771,82.27
U00772,User772,56.18
U00773,User773,16.07
U00774,User774,83.49
U00775,User775,24.4
U00776,User776,24.55
U00777,User777,86.42
U00778,User778,8.45
U00779,User779,34.6
U00780,User780,7.79
U00781,User781,96.27
U00782,User782,57.15
U00783,User783,65.54
U00784,User784,21.05
U00785,User785,62.43
U00786,User786,63.13
U00787,User787,92.6
U00788,User788,53.98
U00789,User789,88.23
U00790,User790,51.64
U00791,User791,59.07
U00792,User792,51.5
U00793,User793,17.52
U00794,User794,32.44
U00795,User795,86.48
U00796,User796,12.78
U00797,User797,11.05
U00798,User798,15.41
U00799,User799,31.74
U00800,User800,29.47
U00801,User801,98.81
U00802,User802,58.62
U00803,User803,99.95
U00804,User804,16.73
U00805,User805,7.1
U00806,User806,1.67
U00807,User807,76.59
U00808,User808,24.07
U00809,User809,64.37
U00810,User810,78.09
U00811,User811,23.06
U00812,User812,47.51
U00813,User813,83.76
U00814,User814,83.48
U00815,User815,31.17
U00816,User816,16.7
U00817,User817,44.03
U00818,User818,39.42
U00819,User819,50.61
U00820,User820,74.89
U00821,User821,13.97
U00822,User822,85.04
U00823,User823,72.41
U00824,User824,30.65
U00825,User825,1.27
U00826,User826,98.32
U00827,User827,60.46
U00828,User828,41.17
U00829,User829,29.89
U00830,User830,87.7
U00831,User831,61.79
U00832,User832,41.87
U00833,User833,46.16
U00834,User834,49.32
U00835,User835,34.91
U00836,User836,71.98
U00837,User837,24.88
U00838,User838,72.39
U00839,User839,30.84
U00840,User840,47.81
U00841,User841,77.21
U00842,User842,10.99
U00843,User843,86.34
U00844,User844,96.41
U00845,User845,96.05
U00846,User846,18.97
U00847,User847,22.48
U00848,User848,99.29
U00849,User849,48.35
U00850,User850,48.98
U00851,User851,55.88
U00852,User852,93.43
U00853,User853,69.38
U00854,User854,12.59
U00855,User855,75.98
U00856,User856,48.66
U00857,User857,36.94
U00858,User858,71.98
U00859,User859,37.92
U00860,User860,36.93
U00861,User861,10.56
U00862,User862,92.3
U00863,User863,69.56
U00864,User864,41.25
U00865,User865,5.42
U00866,User866,76.55
U00867,User867,88.55
U00868,User868,73.12
U00869,User869,26.83
U00870,User870,99.68
U00871,User871,78.79
U00872,User872,58.57
U00873,User873,50.15
U00874,User874,22.96
U00875,User875,55.58
U00876,User876,72.73
U00877,User877,63.87
U00878,User878,73.76
U00879,User879,67.15
U00880,User880,13.85
U00881,User881,47.71
U00882,User882,49.73
U00883,User883,58.27
U00884,User884,8.49
U00885,User885,67.02
U00886,User886,9.79
U00887,User887,15.79
U00888,User888,32.0
U00889,User889,28.45
U00890,User890,34.44
U00891,User891,37.29
U00892,User892,79.18
U00893,User893,83.77
U00894,User894,25.34
U00895,User895,97.16
U00896,User896,53.07
U00897,User897,7.01
U00898,User898,15.44
U00899,User899,88.72
U00900,User900,38.49
U00901,User901,41.31
U00902,User902,69.35
U00903,User903,58.83
U00904,User904,55.36
U00905,User905,41.06
U00906,User906,20.33
U00907,User907,85.09
U00908,User908,17.31
U00909,User909,70.19
U00910,User910,29.04
U00911,User911,3.48
U00912,User912,24.05
U00913,User913,41.08
U00914,User914,70.6
U00915,User915,19.29
U00916,User916,5.78
U00917,User917,99.37
U00918,User918,88.32
U00919,User919,11.36
U00920,User920,16.25
U00921,User921,55.26
U00922,User922,16.19
U00923,User923,17.37
U00924,User924,9.45
U00925,User925,79.69
U00926,User926,23.84
U00927,User927,29.62
U00928,User928,18.32
U00929,User929,33.32
U00930,User930,83.27
U00931,User931,62.63
U00932,User932,14.77
U00933,User933,67.14
U00934,User934,12.17
U00935,User935,83.05
U00936,User936,86.82
U00937,User937,58.27
U00938,User938,47.48
U00939,User939,67.55
U00940,User940,98.03
U00941,User941,1.09
U00942,User942,20.19
U00943,User943,16.93
U00944,User944,93.27
U00945,User945,1.37
U00946,User946,22.86
U00947,User947,70.99
U00948,User948,32.02
U00949,User949,83.47
U00950,User950,70.53
U00951,User951,30.57
U00952,User952,46.58
U00953,User953,3.46
U00954,User954,38.17
U00955,User955,47.82
U00956,User956,15.65
U00957,User957,59.22
U00958,User958,76.56
U00959,User959,53.38
U00960,User960,57.32
U00961,User961,10.6
U00962,User962,29.11
U00963,User963,74.15
U00964,User964,67.69
U00965,User965,27.81
U00966,User966,17.95
U00967,User967,61.01
U00968,User968,98.83
U00969,User969,53.99
U00970,User970,27.44
U00971,User971,54.35
U00972,User972,36.46
U00973,User973,26.37
U00974,User974,30.96
U00975,User975,82.55
U00976,User976,43.59
U00977,User977,90.95
U00978,User978,55.49
U00979,User979,40.88
U00980,User980,20.48
U00981,User981,88.83
U00982,User982,95.51
U00983,User983,52.07
U00984,User984,74.03
U00985,User985,94.23
U00986,User986,70.01
U00987,User987,51.7
U00988,User988,84.78
U00989,User989,8.84
U00990,User990,31.2
U00991,User991,2.07
U00992,User992,11.64
U00993,User993,1.22
U00994,User994,91.93
U00995,User995,67.85
U00996,User996,70.07
U00997,User997,34.25
U00998,User998,33.81
U00999,User999,69.58
